track_id,est_bpm,brightness,energy_rms,percussiveness
208440852,112.35,2258.59,0.21243,0.09613
210715841,123.05,3419.54,0.24538,0.16424
72286358,129.2,2773.46,0.3476,0.09766
116639212,123.05,2643.18,0.29868,0.11119
11059531,129.2,2052.98,0.3226,0.05252
85381594,123.05,1972.56,0.23396,0.05003
80842224,66.26,2960.56,0.34251,0.13708
71270825,123.05,1502.39,0.31868,0.04699
67780172,123.05,2208.35,0.32424,0.08436
240028548,123.05,3309.55,0.22247,0.14399
14420445,129.2,1873.79,0.26606,0.06183
249956846,123.05,2947.93,0.35,0.10701
190679893,123.05,2850.2,0.27343,0.13479
236329954,129.2,1776.42,0.17348,0.06958
4057805,123.05,3338.7,0.21152,0.13496
214906319,123.05,2006.17,0.22895,0.08637
16015886,143.55,2543.49,0.28403,0.10635
109886684,143.55,2404.04,0.32305,0.08619
81663092,117.45,1704.67,0.25793,0.06314
154172776,123.05,3037.56,0.27249,0.13938
33601534,123.05,2838.75,0.24049,0.10093
188536659,123.05,2507.53,0.26389,0.08184
183894830,123.05,1773.48,0.25769,0.05561
201436905,123.05,2218.05,0.26779,0.08151
198414739,129.2,2739.38,0.30359,0.10253
145017377,123.05,2089.49,0.16607,0.10027
197562394,123.05,2908.7,0.27393,0.13813
90500468,117.45,1246.21,0.20251,0.04761
166600569,123.05,2674.8,0.29959,0.12515
167526558,117.45,2744.21,0.25659,0.08508
1171643,123.05,2469.73,0.23933,0.10038
23904623,129.2,1605.61,0.27207,0.06351
264979550,129.2,1908.81,0.23418,0.06872
18682433,123.05,2119.9,0.25608,0.08698
13402861,123.05,1965.33,0.31992,0.05507
263380903,123.05,2616.49,0.24816,0.11853
137400131,123.05,2816.65,0.18896,0.14023
200318735,117.45,1625.21,0.2923,0.04974
55799303,123.05,3249.9,0.23674,0.16063
109359756,129.2,1917.65,0.29257,0.06059
113717179,123.05,1447.89,0.25108,0.04502
143645745,117.45,1877.91,0.26112,0.05318
252620748,123.05,1098.52,0.25206,0.03678
212379967,123.05,1943.87,0.30544,0.03943
241972585,123.05,1623.82,0.23669,0.0554
4244169,123.05,1685.54,0.19072,0.06635
35117748,117.45,1567.27,0.26193,0.03624
153347592,129.2,2349.1,0.34158,0.05782
121111359,123.05,3042.48,0.18576,0.1478
129303348,123.05,1338.2,0.25367,0.04978
21125599,123.05,2087.29,0.3181,0.05245
107415943,117.45,2961.85,0.18124,0.12542
79121119,123.05,2603.52,0.23283,0.11771
